DATE,STREAMFLOW,PRECIPITATION,MINT,MAXT,MEANT,PET
1964-10-01,10.5,46.67,2.0,22.7,12.0,95.471
1964-11-01,11.0,99.7,-1.7,12.3,5.0,43.318
1964-12-01,12.5,64.7,-4.1,4.1,-0.4,22.32
1965-01-01,12.3,41.0,-5.0,3.0,-1.4,22.607
1965-02-01,15.8,104.5,-6.9,3.4,-2.1,29.121
1965-03-01,61.4,117.1,-1.2,9.0,3.4,56.639
1965-04-01,79.0,62.1,2.7,13.0,7.2,81.356
1965-05-01,42.0,6.4,6.2,20.2,12.7,134.244
1965-06-01,24.5,21.3,9.8,26.5,18.3,172.731
1965-07-01,17.2,0.8,12.5,30.6,21.6,199.245
1965-08-01,13.5,7.95,12.0,32.2,22.3,194.229
1965-09-01,13.1,16.0,6.9,27.6,17.4,139.31
1965-10-01,12.7,61.4,1.3,14.2,7.5,63.868
1965-11-01,13.1,61.9,-1.7,11.5,4.2,41.333
1965-12-01,23.9,160.5,-5.5,3.4,-1.5,21.882
1966-01-01,89.0,214.0,-4.0,4.0,-0.5,23.953
1966-02-01,69.3,16.3,-0.9,9.1,3.5,39.152
1966-03-01,74.2,56.1,-0.7,10.4,4.1,61.671
1966-04-01,84.3,41.8,4.6,17.1,10.4,100.106
1966-05-01,45.2,27.0,5.2,21.1,13.0,142.833
1966-06-01,26.8,9.9,7.3,26.2,17.4,176.6
1966-07-01,20.0,7.55,11.1,31.0,22.0,206.263
1966-08-01,16.7,10.2,12.9,32.1,23.2,191.259
1966-09-01,16.4,45.0,6.9,24.9,15.9,124.904
1966-10-01,16.5,13.9,4.2,21.2,11.9,87.524
1966-11-01,15.6,133.0,3.6,13.4,8.1,41.263
1966-12-01,41.1,158.5,-3.5,4.1,0.1,21.85
1967-01-01,40.4,71.0,-9.3,0.0,-4.9,19.079
1967-02-01,28.1,35.2,-12.3,0.0,-6.6,23.099
1967-03-01,49.7,93.2,-5.3,5.4,-0.3,47.718
1967-04-01,85.6,63.9,0.3,12.5,5.9,83.537
1967-05-01,54.5,63.0,7.5,20.2,13.6,130.54
1967-06-01,30.7,15.2,9.2,24.1,16.6,156.349
